s_no,route_long_name,stop_id
758,TMS-PBAGH,1050
759,TMS-PBAGH,1051
760,TMS-PBAGH,1052
761,TMS-PBAGH,1053
762,TMS-PBAGH,2105
763,TMS-PBAGH,2106
764,TMS-PBAGH,2466
765,TMS-PBAGH,2107
766,TMS-PBAGH,2108
767,TMS-PBAGH,1405
768,TMS-PBAGH,1406
769,TMS-PBAGH,1407
770,TMS-PBAGH,456
771,TMS-PBAGH,2673
772,TMS-PBAGH,458
773,TMS-PBAGH,2467
774,TMS-PBAGH,1089
775,TMS-PBAGH,1090
776,TMS-PBAGH,1408
777,TMS-PBAGH,1409
778,TMS-PBAGH,1410
779,TMS-PBAGH,2646
780,TMS-PBAGH,2647
781,TMS-PBAGH,2648
782,TMS-PBAGH,2649
783,TMS-PBAGH,1112
784,TMS-PBAGH,1113
785,TMS-PBAGH,1852
786,TMS-PBAGH,1853
787,TMS-PBAGH,3394
788,TMS-PBAGH,3395
789,TMS-PBAGH,3396
790,TMS-PBAGH,3397
791,TMS-PBAGH,2794
792,TMS-PBAGH,3398
793,TMS-PBAGH,820
794,TMS-PBAGH,821
795,TMS-PBAGH,4151
796,TMS-PBAGH,823
797,TMS-PBAGH,824
798,TMS-PBAGH,825
799,TMS-PBAGH,826
800,TMS-PBAGH,1583
801,TMS-PBAGH,2915
802,TMS-PBAGH,2916
803,TMS-PBAGH,2917
804,TMS-PBAGH,2918
805,TMS-PBAGH,2919
806,TMS-PBAGH,239
807,TMS-PBAGH,2214
808,TMS-PBAGH,382
809,TMS-PBAGH,383
810,TMS-PBAGH,384
811,TMS-PBAGH,385
812,TMS-PBAGH,2010
813,TMS-PBAGH,2011
814,TMS-PBAGH,2012
815,TMS-PBAGH,2013
816,TMS-PBAGH,1856
817,720DOWN,2311
818,720DOWN,2312
819,720DOWN,2313
820,720DOWN,2314
821,720DOWN,710
822,720DOWN,711
823,720DOWN,712
824,720DOWN,713
825,720DOWN,2315
826,720DOWN,714
827,720DOWN,180
828,720DOWN,181
829,720DOWN,182
830,720DOWN,183
831,720DOWN,184
832,720DOWN,185
833,720DOWN,2316
834,720DOWN,1665
835,720DOWN,1666
836,720DOWN,1667
837,720DOWN,1668
838,720DOWN,1669
839,720DOWN,189
840,720DOWN,190
841,720DOWN,191
842,720DOWN,1549
843,720DOWN,1550
844,720DOWN,1551
845,720DOWN,1552
846,720DOWN,2317
847,720DOWN,2318
848,720DOWN,2319
849,720DOWN,2320
850,720DOWN,2321
851,720DOWN,2322
852,720DOWN,2323
853,720DOWN,2324
854,720DOWN,1673
855,720DOWN,1674
856,720DOWN,1675
857,720DOWN,1676
858,720DOWN,2578
859,720DOWN,1293
860,720DOWN,1294
861,720DOWN,1295
862,720DOWN,1114
863,720DOWN,1115
864,720DOWN,1296
865,720DOWN,1297
866,720DOWN,1298
867,720DOWN,1299
868,720DOWN,1300
869,720DOWN,1301
870,720DOWN,1302
871,720DOWN,1954
872,720DOWN,1608
873,720DOWN,1609
874,720DOWN,1610
875,720DOWN,1611
876,720DOWN,1612
877,720DOWN,1613
878,720DOWN,1614
879,720DOWN,1615
880,720DOWN,1616
881,720DOWN,59
882,720DOWN,2210
883,175UP,111
884,175UP,1480
885,175UP,1481
886,175UP,45
887,175UP,672
888,175UP,673
889,175UP,674
890,175UP,675
891,175UP,1186
892,175UP,1187
893,175UP,1188
894,175UP,1189
895,175UP,1190
896,175UP,1191
897,175UP,1192
898,175UP,1193
899,175UP,239
900,175UP,1244
901,175UP,241
902,175UP,242
903,175UP,243
904,175UP,244
905,175UP,245
906,175UP,246
907,175UP,248
908,175UP,249
909,175UP,250
910,175UP,251
911,175UP,1194
912,175UP,1195
913,175UP,1196
914,175UP,1198
915,175UP,765
916,175UP,264
917,175UP,265
918,175UP,266
919,175UP,267
920,175UP,268
921,175UP,269
922,175UP,11
923,175UP,12
924,175UP,13
925,175UP,270
926,175UP,271
927,175UP,1597
928,175UP,1598
929,175UP,1599
930,175UP,1600
931,175UP,1601
932,175UP,1602
933,175UP,1603
934,992DOWN,2547
935,992DOWN,2548
936,992DOWN,1750
937,992DOWN,1751
938,992DOWN,1752
939,992DOWN,1753
940,992DOWN,1754
941,992DOWN,1755
942,992DOWN,1756
943,992DOWN,1757
944,992DOWN,1758
945,992DOWN,1759
946,992DOWN,1760
947,992DOWN,1761
948,992DOWN,1762
949,992DOWN,3331
950,992DOWN,3332
951,992DOWN,3333
952,992DOWN,3334
953,992DOWN,3335
954,992DOWN,781
955,992DOWN,782
956,992DOWN,783
957,992DOWN,784
958,992DOWN,785
959,992DOWN,786
960,992DOWN,787
961,992DOWN,788
962,992DOWN,300
963,992DOWN,669
964,992DOWN,670
965,992DOWN,671
966,992DOWN,789
967,992DOWN,790
968,992DOWN,791
969,992DOWN,792
970,992DOWN,793
971,992DOWN,794
972,992DOWN,795
973,992DOWN,796
974,992DOWN,797
975,992DOWN,798
976,992DOWN,800
977,992DOWN,801
978,992DOWN,802
979,992DOWN,803
980,992DOWN,804
981,992DOWN,1483
982,992DOWN,1484
983,992DOWN,1485
984,992DOWN,1486
985,992DOWN,1487
986,992DOWN,1488
987,992DOWN,1489
988,992DOWN,1490
989,992DOWN,1491
990,992DOWN,1492
991,992DOWN,1379
992,992DOWN,1380
993,992DOWN,1381
994,992DOWN,2986
995,992DOWN,2987
996,992DOWN,2988
997,992DOWN,2989
998,992DOWN,2990
999,992DOWN,2991
1000,992DOWN,1164
1001,260UP,1684
1002,260UP,1685
1003,260UP,1286
1004,260UP,1287
1005,260UP,1556
1006,260UP,1672
1007,260UP,833
1008,260UP,1673
1009,260UP,1674
1010,260UP,1675
1011,260UP,1676
1012,260UP,2578
1013,260UP,1293
1014,260UP,1294
1015,260UP,353
1016,260UP,354
1017,260UP,355
1018,260UP,1855
1019,260UP,356
1020,260UP,357
1021,260UP,358
1022,260UP,359
1023,260UP,748
1024,260UP,749
1025,260UP,750
1026,260UP,48
1027,260UP,49
1028,260UP,50
1029,260UP,51
1030,260UP,52
1031,260UP,53
1032,260UP,2662
1033,260UP,2663
1034,260UP,2664
1035,260UP,2665
1036,260UP,2666
1037,260UP,2667
1038,260UP,2668
1039,260UP,2669
1040,260UP,2670
1041,260UP,2671
1042,260UP,1883
1043,260UP,1885
1044,260UP,1886
1045,260UP,1887
1046,133UP,1185
1047,133UP,669
1048,133UP,670
1049,133UP,45
1050,133UP,672
1051,133UP,673
1052,133UP,674
1053,133UP,675
1054,133UP,1186
1055,133UP,1187
1056,133UP,1188
1057,133UP,1189
1058,133UP,1190
1059,133UP,1191
1060,133UP,1192
1061,133UP,1193
1062,133UP,239
1063,133UP,240
1064,133UP,241
1065,133UP,242
1066,133UP,243
1067,133UP,244
1068,133UP,245
1069,133UP,246
1070,133UP,2143
1071,133UP,2144
1072,133UP,1004
1073,133UP,1005
1074,133UP,1006
1075,133UP,1007
1076,133UP,2739
1077,133UP,3537
1078,133UP,2740
1079,133UP,2741
1080,133UP,2742
1081,133UP,2743
1082,133UP,2744
1083,133UP,2745
1084,133UP,2746
1085,133UP,2747
1086,133UP,2748
1087,133UP,2749
1088,133UP,2357
1089,133UP,2358
1090,133UP,2359
1091,133UP,2360
1092,133UP,2361
1093,133UP,2750
1094,133UP,2362
1095,133UP,2363
1096,133UP,2364
1097,133UP,2751
1098,133UP,2365
1099,133UP,2366
1100,133UP,2367
1101,133UP,103
1102,133UP,2899
1103,133UP,2900
1104,133UP,753
1105,133UP,754
1106,133UP,755
1107,133UP,2852
1108,133UP,2853
1109,133UP,2854
1110,133UP,2855
1111,133UP,2856
1112,133UP,271
1113,133UP,0
1114,85AEXTDOWN,965
1115,85AEXTDOWN,830
1116,85AEXTDOWN,1290
1117,85AEXTDOWN,1291
1118,85AEXTDOWN,1292
1119,85AEXTDOWN,1293
1120,85AEXTDOWN,1294
1121,85AEXTDOWN,1295
1122,85AEXTDOWN,1114
1123,85AEXTDOWN,1115
1124,85AEXTDOWN,1116
1125,85AEXTDOWN,1117
1126,85AEXTDOWN,1118
1127,85AEXTDOWN,1119
1128,85AEXTDOWN,2880
1129,85AEXTDOWN,2881
1130,85AEXTDOWN,2882
1131,85AEXTDOWN,2883
1132,85AEXTDOWN,2884
1133,85AEXTDOWN,2885
1134,85AEXTDOWN,2886
1135,85AEXTDOWN,2887
1136,85AEXTDOWN,2888
1137,85AEXTDOWN,2889
1138,85AEXTDOWN,2890
1139,85AEXTDOWN,2891
1140,85AEXTDOWN,1303
1141,85AEXTDOWN,1304
1142,85AEXTDOWN,1305
1143,85AEXTDOWN,1306
1144,85AEXTDOWN,68
1145,822STLUP,1175
1146,822STLUP,1965
1147,822STLUP,1966
1148,822STLUP,1967
1149,822STLUP,228
1150,822STLUP,229
1151,822STLUP,230
1152,822STLUP,231
1153,822STLUP,232
1154,822STLUP,233
1155,822STLUP,915
1156,822STLUP,916
1157,822STLUP,2844
1158,822STLUP,918
1159,822STLUP,919
1160,822STLUP,920
1161,822STLUP,921
1162,822STLUP,70
1163,822STLUP,71
1164,822STLUP,72
1165,822STLUP,73
1166,822STLUP,1968
1167,822STLUP,1969
1168,822STLUP,2845
1169,822STLUP,2846
1170,822STLUP,2847
1171,822STLUP,4152
1172,822STLUP,4153
1173,822STLUP,4154
1174,822STLUP,4155
1175,929UP,111
1176,929UP,1480
1177,929UP,1481
1178,929UP,671
1179,929UP,1482
1180,929UP,790
1181,929UP,791
1182,929UP,792
1183,929UP,793
1184,929UP,794
1185,929UP,795
